Chatbot_ID,Name,Description,Visibility,Total_Chats,Last_Active,Link
GPT022,Gen X Quran Translator,"Translates the Quran for Gen X tech enthusiasts, tracks and motivates a 30-day reading progress.",Anyone with a link,1,unkn,https://chatgpt.com/g/g-gen-x-quran-translator
GPT023,Ethereal Vibration Guide,"Embark on a unique meditation journey with Harmony Guide, where Solfeggio frequencies and Grabovoi codes align with your intentions.",Everyone,20+,unkn,https://chatgpt.com/g/g-ethereal-vibration-guide
GPT024,SCP Intern Adventure,Embark on a mysterious journey within the SCP Foundation. Start with a chosen prompt or forge your own path to unravel the enigmas.,Everyone,30+,unkn,https://chatgpt.com/g/g-scp-intern-adventure
GPT025,Mac Shortcut Helper,Your guide to Mac keyboard shortcuts.,Everyone,3,unkn,https://chatgpt.com/g/g-mac-shortcut-helper
GPT026,AI Assistant Builder,Assists in creating AI bots with OpenAI API.,Everyone,9,unkn,https://chatgpt.com/g/g-ai-assistant-builder
GPT027,Quinn Pathway,Expert in electric mobility and community engagement.,Anyone with a link,50+,unkn,https://chatgpt.com/g/g-quinn-pathway
GPT028,Lexicon Magica,Your dynamic guide for vocabulary expansion and engaging language exploration.,Everyone,10,unkn,https://chatgpt.com/g/g-lexicon-magica
GPT029,Quantum Wisdom Scribe,Assisting in crafting personal quantum insights with wisdom and creativity.,Anyone with a link,50+,unkn,https://chatgpt.com/g/g-quantum-wisdom-scribe
GPT030,SCP Episode Planner,Assists in planning and refining SCP podcast's Episode Zero.,Anyone with a link,7,unkn,https://chatgpt.com/g/g-scp-episode-planner
GPT031,SCP Character Architect,"A bot for creating SCP-themed podcast characters, using detailed templates.",Anyone with a link,7,unkn,https://chatgpt.com/g/g-scp-character-architect
GPT032,Podcast Maestro,"Your assistant for all things podcasting, from idea to audience.",Everyone,3,unkn,https://chatgpt.com/g/g-podcast-maestro
GPT033,AI Membership Maven,Expert in crafting AI-driven Patreon content for engaging membership experiences.,Everyone,8,unkn,https://chatgpt.com/g/g-ai-membership-maven
GPT034,Celestial Code Weaver,Organizing digital realms with cosmic wisdom.,Only me,unkn,unkn,https://chatgpt.com/g/g-celestial-code-weaver
GPT035,Balanced Business Analyst,Expert in shift scheduling and labor optimization.,Everyone,10,unkn,https://chatgpt.com/g/g-balanced-business-analyst
GPT036,Precision Cash Assistant,Your expert in formal cash counting and management.,Everyone,10,unkn,https://chatgpt.com/g/g-precision-cash-assistant
GPT037,Tropical Inventory Optimizer,Optimizes inventory for a tropical-themed cafe.,Only me,unkn,unkn,https://chatgpt.com/g/g-tropical-inventory-optimizer
GPT038,Inventory Navigator,"Expert in inventory management, providing insights, analysis, and integration support.",Only me,unkn,unkn,https://chatgpt.com/g/g-inventory-navigator
GPT039,Guggenheim Terrace Guide,"Expert in cafe operations and hiring, with interview scoring.",Anyone with a link,100+,unkn,https://chatgpt.com/g/g-guggenheim-terrace-guide
GPT040,Kaiber Animator's Muse,Creator of inspirational images and stories for Kaiber.,Anyone with a link,1,unkn,https://chatgpt.com/g/g-kaiber-animator-muse
GPT041,SpriteSculptor,Your pixel art maestro for game asset creation.,Everyone,8,unkn,https://chatgpt.com/g/g-spritesculptor
GPT042,Fantasy Game Forger,Crafting diverse and imaginative games.,Anyone with a link,7,unkn,https://chatgpt.com/g/g-fantasy-game-forger
GPT043,StopMotion AI Studio,Coordinator for AI-assisted stop-motion video creation.,Only me,unkn,unkn,https://chatgpt.com/g/g-stopmotion-ai-studio
GPT044,Sticker Nexus,"Central hub for a 'Sticker on Demand' system, managing and coordinating specialized bots.",Everyone,10,unkn,https://chatgpt.com/g/g-sticker-nexus
GPT045,Mindful Momentum,"Your serene guide to tranquility, inner peace, and high vibrations.",Everyone,9,unkn,https://chatgpt.com/g/g-mindful-momentum
GPT046,Artistic Synthesizer,"A creative hub uniting music, visual art, and literature in collaborative projects.",Everyone,5,unkn,https://chatgpt.com/g/g-artistic-synthesizer
GPT047,Café Helper,Your Café Assistant: Aiding General Managers in Efficient Café Operations.,Anyone with a link,20+,unkn,https://chatgpt.com/g/g-cafe-helper
GPT048,Membership Maestro,"Expert in creating and managing $2000+/month membership sites, with a focus on strategy, support, and content.",Anyone with a link,2,unkn,https://chatgpt.com/g/g-membership-maestro
GPT049,Collaboration Cube,Expert in orchestrating collaborations between multiple GPTs for complex projects.,Anyone with a link,40+,unkn,https://chatgpt.com/g/g-collaboration-cube
GPT050,GPT Creator Buddy,I help create GPTs for everyday life!,Everyone,8,unkn,https://chatgpt.com/g/g-gpt-creator-buddy
GPT051,ScriptMaster 1000X,Creates innovative monologue scripts without traditional transitions.,Anyone with a link,9,unkn,https://chatgpt.com/g/g-scriptmaster-1000x
GPT052,Timewinder's Muse,"As Faelora, I weave magic into content for my Timeline Tinkering Channel.",Only me,unkn,unkn,https://chatgpt.com/g/g-timewinders-muse
GPT053,Inkwell Oracle,"For authors, a whispering muse in conversation, igniting stories with every word.",Everyone,20+,unkn,https://chatgpt.com/g/g-inkwell-oracle
GPT054,EchoSpeak,Translates into clear NATO phonetic codes.,Everyone,7,unkn,https://chatgpt.com/g/g-echospeak
